"Maitum Municipal Museum","Municipal Hall, Maitum, Sarangani",
"Metro Park Science Museum","Purok Palmera, Napolan, Pagadian City, Zamboanga del Sur","(062) 215-2995"
"Mindanao Folk Arts Museum and Studies Center","University Avenue, Juna Subdivision, Matina, Davao City","(082) 297-8035 local 250"
"Mindanao Science and Technology Centrum","D-A-2 Sacred Heart Apartments, A. Loyola St., Obrero, Davao City","(082) 221-5058, (082) 293-0673"
"Mindanao State University - General Santos Museum","Tambler, Gen. Santos City, South Cotabato","(083) 380-7153"
"Mindanao State University IIT - Ethnoculture Museum","Tibanga, Iligan City, Lanao del Norte",
"Mindanao State University IIT - Natural Science Museum","Tibanga, Iligan City, Lanao del Norte","(063) 221-4050 to 55 local 179"
"Mini-ARCH (Art Related to the Cultural Heritage) of Mindanao-Sulu","JBC Rodriguez Bldg., 137 Gen. Alvarez Avenue, Pitogo, Zamboanga City","(062) 991-5663, (062) 991-5942"
"Misamis Occidental Aquamarine Park","Sinacaban, Misamis Occidental",
"Museo Dabawenyo","A. Pichon cor. C.M. Recto Sts., Davao City","(082) 224-5885"
"Museo de Cabadbaran","City Library, Cabadbaran City, Agusan del Norte",
"Museo de la Universidad de Zamboanga","Tetuan Campus, Tetuan, Zamboanga City","(062) 991-1135, (062) 991-3929"
"Museo de Oro","Xavier University-Ateneo de Cagayan, Cagayan de Oro City, Misamis Oriental","(068) 856-3116 local 2403, 2130"
"Museo Malitano","Malita, Davao del Sur",
"Museo nan Jabongan","Our Lady of the Assumption Parish, Jabonga, Agusan del Norte",
"Museo Ozamiz","Fuerte de la Concepcion y del Triunfo, Kota, Ozamiz City, Misamis Occidental","(088) 521-1714, (088) 586-0271"
"Museo Panabo","Old City Hall, Rizal Park, Panabo City, Davao del Norte","(082) 822-5156"
"Museum of Transfiguration Monastery","San Jose, Malaybalay City, Bukidnon","(088) 221-2373, (088) 221-4708"
"National Museum - Balangai Shrine","Libertad, Butuan City, Agusan del Norte",
"National Museum - Caraga Region Branch","Doongan, Butuan City, Agusan del Norte","(085) 342-5328"
"National Museum - Cotabato Branch","Cotabato City","(02) 572-4192"
"National Museum - Jolo Branch","Capitol Site, Jolo, Sulu",
"National Museum - Zamboanga Branch","Fort Pilar, Zamboanga City","(062) 991-6029"
"Notre Dame of Jolo College - Ciscul Museum","Gandasuli, Jolo, Sulu","(085) 341-8911 local 234"
"Notre Dame of Marbel University Museum","Alunan Avenue, Koronadal City, South Cotabato","(083) 228-2218 local 126"
"Notre Dame of Tacurong College Tri-People Museum","Tacurong City, Sultan Kudarat","(063) 200-3631 local 124"
"Notre Dame University Museum","Cotabato City","(064) 421-9942, (064) 421-4312"
"Oblates of Notre Dame Heritage Museum","OND Compound, Marian Hills, Tamontaca, Datu Odin Sinsuat, Maguindanao",
"Oroquieta City Museum","3/F City Hall Annex Bldg., Independence St., Oroquieta City, Misamis Occidental",
"Philippine-Japan Museum","Durian Village, Calinan, Davao City","(082) 295-0221"
"San Isidro College Memorabilia","3/F St. Isidore Bldg., San Isidro College, Impalambong, Malaybalay City, Bukidnon","(088) 221-2940"
"San Pedro Cathedral Memorabilia","San Pedro, Davao City","(082) 301-7593"
"South Cotabato Museum","3/F Left Wing, South Cotabato Gymnasium and Cultural Center, Alunan Avenue, Koronadal City, South Cotabato","(083) 228-5978"
"Sultan Kudarat Museum","Provincial Capitol Complex, Isulan, Sultan Kudarat",
"Sultan Kudarat State University - Kangabu Museum","Tacurong City, Sultan Kudarat","(064) 200-4287, (064) 200-4261"
"Surigaonon Heritage Center","Parola Blvd., Surigao City, Surigao del Norte","(086) 826-1797"
"T'boli Museum","Punta Isla, Lake Sebu, South Cotabato",
"University of Southern Mindanao Cultural Museum","Kabacan, North Cotabato",
"University of the Philippines - Mindanao Food Museum","College of Science and Mathematics, UP Mindanao, Bago Oshiro, Davao City","(082) 293-0302 to 03"
"Vice Gov. Eufracio Lood Memorial Library & Museum","Sinacaban, Misamis Occidental",
"Western Mindanao State University Museum and House of Peace","Baliwasan, Zamboanga City","(062) 991-1040 local 125"
"Zamboanga City Museum","Pasonanca Park, Zamboanga City","(062) 991-2295"
"Zamboanga del Norte Museum and Art Gallery","2/F Zamboanga del Norte Convention and Exhibition Center, Gen. Luna St., Dipolog City, Zamboanga del Norte","(065) 212-4325"
