"Leon Apacible Historical Landmark","Taal, Batangas",
"Mabini Shrine","Tanauan City, Batangas",
"Malvar Historical Landmark","Sto. Tomas, Batangas",
"Marcela Agoncillo Historical Landmark","Taal, Batangas",
"Marcelo H. del Pilar Shrine","Bulacan, Bulacan",
"Mariano Marcos State University Iloko Museum","Main Library, Mariano Marcos State University, Batac, Ilocos Norte",
"Museo Clemente","San Isidro I, Paombong, Bulacan","(044) 791-1256, (044) 896-1892"
"Museo de La Salle","De La Salle University - Dasmariñas, Cavite","(02) 844-7832, (046) 416-4531 local 3151"
"Museo de Labo, The Heritage Center","Labo People's Park, Poblacion, Labo, Camarines Norte","(054) 447-6214"
"Museo de Lipa","Plaza Independencia, Lipa City, Batangas","(043) 784-2537"
"Museo de Nuestra Señora de Manaoag","Shrine of our Lady of the Rosary, Manaoag, Pangasinan","(075) 529-0132"
"Museo de Nuestra Señora de Namacpacan","St. Catherine of Alexandria Parish, Luna, La Union","(072) 607-0773"
"Museo Diocesano de Laoag","Santa Monica Roman Catholic Parish, Sarrat, Ilocos Norte",
"Museo Ilocos Norte","Gen. Luna cor. Llanes Streets, Laoag City, Ilocos Norte","(077) 770-4587, (077) 770-5286"
"Museo ng Tanauan","Old Municipal Bldg., A. Mabini Avenue, Poblacion II, Tanauan City, Batangas","(043) 778-5639, (043) 778-5867"
"Museo Ning Angeles","Sto. Rosario, Angeles City, Pampanga","(045) 887-4703"
"Museo Nueva Segovia","Bishop's Palace, Vigan City, Ilocos Sur","(077) 772-2018"
"Museum of Sorsogon Province","Provincial Capitol Grounds, Sorsogon City, Sorsogon","(056) 211-3878"
"Nagcarlan Underground Cemetery","Nagcarlan, Laguna",
"National Museum - Angono Petroglyphs Site Museum","Binangonan, Rizal","(02) 572-4192"
"National Museum - Bicol Branch","Tabaco, Albay","(02) 572-4192"
"National Museum - Boac Branch","Boac, Marinduque","(02) 572-4192"
"National Museum - Bolinao Branch","Bolinao, Pangasinan","(075) 554-2065"
"National Museum - Cagsawa Branch","Daraga, Albay","(02) 572-4192"
"National Museum - Kabayan Branch","Kabayan, Benguet",
"National Museum - Kiangan Branch","Kiangan, Ifugao","(02) 572-4192"
"National Museum - Magsingal Branch","Magsingal, Ilocos Sur","(02) 572-4192"
"National Museum - Padre Burgos House","Vigan City, Ilocos Sur","(02) 572-4192"
"National Museum - Palawan Branch","Quezon, Palawan","(02) 572-4192"
"National Museum - Tuguegarao Branch","Tuguegarao, Cagayan","(02) 572-4192"
"Nayong Pilipino sa Clark","Clark Freeport Zone, Pampanga",
"Nueva Vizcaya People's Museum","A. Dela Cruz,St., Don Tomas Madella, Bayombong, Nueva Vizcaya","(078) 805-3970"
"Palawan Museum","Old City Hall Building, Mendoza Park, Puerto Princesa City, Palawan","(048) 433-2963"
"Philippine Military Academy Museum","Fort del Pilar, Baguio City","(074) 447-3690"
"Philippine Rice Science and Technology Museum","PRRI, Maligaya, Science City of Muñoz, Nueva Ecija","(044) 456-0394, (044) 456-0426"
"Provincial Museum of Isabela","Provincial Capitol, Ilagan City, Isabela",
"Ramon Magsaysay House","Castillejos, Zambales",
"Rizal Shrine","Calamba, Laguna",
"RS Quilala Technopark and Museum","Taft Street, Poblacion Bannuar, San Juan, Ilocos Sur","(077) 728-2127"
"SLU Museum of Arts and Cultures","Saint Louis University, Bonifacio Street, Baguio City","(074) 442-3043, (074) 442-2793 local 260"
"Sta. Monica Parish Museum","Basilica of Our Lady of Charity, Agoo, La Union","(072) 710-0458"
"Syquia Mansion Museum","Vigan City, Ilocos Sur",
"Teachers Camp Museum","Baguio City","(074) 442-3517"
"UPLB Museum of Natural History","UPLB, Los Baños City, Laguna",
